layer,r2
0,0.623550
1,0.639416
2,0.636403
3,0.648949
4,0.663185
5,0.669890
6,0.672907
7,0.677962
8,0.708127
9,0.732531
10,0.749834
11,0.774791
12,0.793649
13,0.867829
14,0.869852
15,0.895294
16,0.930266
17,0.944382
18,0.955750
19,0.956601
20,0.962927
21,0.962834
22,0.965967
23,0.966443
24,0.968453
25,0.968220
26,0.967834
27,0.968150
28,0.968472
29,0.966826
30,0.965251
31,0.966415
32,0.967952
33,0.968797
34,0.969621
35,0.974587
36,0.974764
37,0.976147
38,0.976607
39,0.977943
40,0.978074
41,0.979687
42,0.982153
43,0.985426
44,0.988163
45,0.989304
46,0.989670
47,0.988109
